,FIPS,crime_per_10k_y,full_pred,live 2a1w1c,min 1a1c,pct_less_hs,pct_hs,pct_some_college,pct_college,unemployment_rate_2019,median_household_income_2019,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
752,18141,101.80092345615424,348.25141339052306,296.0312038430927,296.0312038430927,297.0629780544025,271.0615438853841,246.31598509643067,247.15402377137897,249.03370546903543,253.7496172201199,252.91033321689542,234.85769250712997,239.1991157044645,239.1991157044645,239.1991157044645,242.29944885306855,256.28592439286746,191.67354199931344,185.16396733237974
753,18143,208.8740058601925,319.03649703565844,230.07571090374068,230.07571090374068,220.02923154712258,187.9028842809056,197.93370460187538,199.98276323366355,202.52811565328284,204.8547953755601,203.92653723414003,225.65550490250524,222.31994756758297,222.31994756758297,222.31994756758297,224.57774239284413,227.2088184900967,108.27284097703242,96.10028351179594
754,18145,233.7988388514044,306.54773753420545,255.75273100394463,255.75273100394463,248.8112658589213,189.70809771095037,202.07663855119452,225.48942630576803,222.4156399823052,210.2808303176779,208.19954081803,205.4382694400632,209.36557263197966,209.36557263197966,209.36557263197966,208.8991574565319,212.22598991383984,114.71062585554527,113.19714964767897
755,18147,6.557707828894269,280.5482159470027,267.6714256722444,267.6714256722444,267.75722822937735,239.00955140282846,238.6248133760159,268.50270847275556,263.15147892959646,253.30990426398884,252.3942852898233,290.083185988972,248.23153379369134,248.23153379369134,248.23153379369134,248.23153379369134,254.062461446211,97.74359239641858,73.47711947064033
756,18149,131.7109337520171,333.0515218034493,265.7934292698202,265.7934292698202,261.16452583515917,219.2814977826919,212.63213827703248,215.24549510645147,216.77386942354266,215.78867126898112,214.87305229481558,246.4485387000507,205.13683972556765,205.13683972556765,205.13683972556765,205.13683972556765,205.09364976383176,105.58193478627524,76.5118223623765
757,18151,144.3346489585434,322.0096580546062,277.90745809966126,277.90745809966126,278.1448001070028,224.61090452064334,214.4875552595785,230.52474485187977,226.96169754269164,221.07638157791868,220.67718210921058,239.62312941299095,234.82347377897332,234.82347377897332,234.82347377897332,236.98995772412667,245.07162868663323,136.34564462715448,119.83000248662512
758,18153,16.468878663114555,305.2824307647159,233.7944133330789,233.7944133330789,233.3686059409504,216.9751949617505,209.58815146761538,212.464681546725,212.76760196247378,216.69775538965808,215.769497248238,247.20256147060243,238.6550334640919,238.6550334640919,238.6550334640919,241.7804105378118,246.31512383971727,106.87638963535876,96.0173527100828
759,18155,7.448096080439438,287.7663726180515,251.64738173686493,251.64738173686493,244.8581062447335,210.75500768590894,223.5501160148003,221.75260628489096,224.63344708272066,220.4077779114028,217.62712074726602,254.1716807254976,218.4845789335353,218.4845789335353,218.4845789335353,218.4845789335353,217.36461576530218,99.41008384725116,73.9388628500256
760,18157,242.4458780630849,337.6931331273513,296.33127491180244,296.33127491180244,286.97163314978377,284.26665007681123,272.9717777707122,287.3144942362882,278.7733730470955,300.07122165387966,300.4207001713599,251.11929436796726,257.40414624889667,257.40414624889667,257.40414624889667,257.712159298143,262.3171156367986,194.20805573313396,184.6313639310953
761,18159,126.15364185645043,325.85170005970133,258.9387159685489,258.9387159685489,260.72301247159754,224.7765349147026,237.09150885106686,236.71262947287946,232.11113593932217,224.55449352934832,222.52275025955814,210.21873136521597,211.4898870160505,211.4898870160505,211.4898870160505,212.80638613738515,215.72570123074752,120.9925244561714,108.1703082281059
