Name,FIPS, 1-0-1, 1-1-1, 1-2-1, 1-3-1, 2-0-1, 2-1-1, 2-2-1, 2-3-1, 2-0-2, 2-1-2, 2-2-2, 2-3-2,Median Wage,Highschool Diploma,% High School Diploma Only,% Some College or Associates,% Bachelo's Degree or higher,% Civilian Labor Force,Employed,% Unemployed,% Total Crimes
Ashland,55003,27.44,55.22,68.68,87.12,44.26,52.82,60.24,63.24,22.12,30.44,38.2,43.74,23.13823529,0.051662819,0.246209521,0.235352842,0.131902415,0.489236913,0.46627566,0.022961253,89.22443377
Ashley,5003,39.12,80.91,97.44,122.31,68.25,80.97,92.04,97.44,34.11,44.7,54.48,61.41,23.40392157,0.121026125,0.316178785,0.197513377,0.089340048,0.404312244,0.382593642,0.021718602,34.62385899
Ashtabula,39007,38.46,81.6,103.17,135.09,64.02,76.08,86.88,92.76,32.01,44.91,57.21,67.83,23.22941176,0.098304876,0.313362166,0.19108574,0.100385349,0.458431549,0.436335499,0.02209605,18.03759198
Asotin,53003,37.38,79.38,99.51,128.91,62.07,75.72,86.37,93.72,31.02,43.92,55.32,65.07,26.85098039,0.062912273,0.203544985,0.305676464,0.15544088,0.463944357,0.44496298,0.018981378,33.65492484
Assumption,22007,13.74,29.07,35.49,45.41,22.73,28.1,31.75,34.28,11.37,15.94,19.65,22.79,25.37401961,0.188792243,0.331669756,0.145016398,0.070583203,0.426351062,0.401539997,0.024811065,71.77147203
Atascosa,48013,62.9,136.65,169.4,214.35,106.85,129.35,146.3,154.1,53.4,74.85,93.5,107.6,28.09264706,0.147097854,0.248422858,0.153631,0.092546089,0.443845573,0.427900615,0.015944958,53.08180723
Atchison,20005,26.32,53.34,65.04,81.54,43.56,52.46,59.74,62.6,21.78,29.46,36.32,40.96,25.42156863,0.045020798,0.237888427,0.200391485,0.136652802,0.429349156,0.407205774,0.022143381,47.10056276
Atchison,29005,38.19,77.49,91.77,112.92,65.55,79.74,90.84,94.77,32.79,42.99,51.66,56.73,24.7627451,0.062770971,0.28671065,0.216776626,0.169651272,0.506314797,0.487653157,0.01866164,20.73515551
Athens,39009,70.9,139.7,175.65,226.85,112.9,130.55,148.55,156.3,56.45,76.75,98.45,113.9,21.38284314,0.05912127,0.20813378,0.146273486,0.178869472,0.448703369,0.424917108,0.02378626,29.95306819
Atkinson,13003,26.32,52.51,63.49,79.74,43.4,52.46,59.75,63.09,21.7,29.06,35.54,40.04,37.8245098,0.205768767,0.217837316,0.12720251,0.038377987,0.550567222,0.532826454,0.017740768,6.03427468
