FIPS,State,County,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
35027,New Mexico,Lincoln County,8639,8379,10428,11186,3554,4996,47182,11304,58487
35028,New Mexico,Los Alamos County,8639,8379,13284,11186,3554,4996,50038,11968,62006
35029,New Mexico,Luna County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35031,New Mexico,McKinley County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35033,New Mexico,Mora County,8639,8379,9432,11186,3554,4996,46186,11073,57259
35035,New Mexico,Otero County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35037,New Mexico,Quay County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35039,New Mexico,Rio Arriba County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35041,New Mexico,Roosevelt County,8639,8379,9408,11186,3554,4996,46162,11067,57230
35043,New Mexico,Sandoval County,8639,8379,10524,11186,3554,4996,47278,11327,58605
35045,New Mexico,San Juan County,8639,8379,9864,11186,3554,4996,46618,11173,57792
35047,New Mexico,San Miguel County,8639,8379,9264,11186,3554,4996,46018,11034,57052
35049,New Mexico,Santa Fe County,8639,8379,12684,11186,3554,4996,49438,11828,61267
35049,New Mexico,"Santa Fe, NM",8639,8379,12684,11186,3554,4996,49438,11484,60922
35051,New Mexico,Sierra County,8639,8379,8796,11186,3554,4996,45550,10925,56476
35053,New Mexico,Socorro County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35055,New Mexico,Taos County,8639,8379,10500,11186,3554,4996,47254,11321,58575
35057,New Mexico,Torrance County,8639,8379,10524,11186,3554,4996,47278,11327,58605
35059,New Mexico,Union County,8639,8379,8568,11186,3554,4996,45322,10872,56195
35061,New Mexico,Valencia County,8639,8379,10524,11186,3554,4996,47278,11327,58605
36001,New York,Albany County,8406,7013,12648,9889,3341,5514,46810,12411,59222
36003,New York,Allegany County,8406,7013,8568,9889,3341,5514,42730,11366,54096
36005,New York,Bronx County,8406,7013,23412,9889,3341,5514,57574,15170,72744
36007,New York,Broome County,8406,7013,9840,9889,3341,5514,44002,11692,55694
36009,New York,Cattaraugus County,8406,7013,8592,9889,3341,5514,42754,11372,54126
36011,New York,Cayuga County,8406,7013,9804,9889,3341,5514,43966,11682,55649
36013,New York,Chautauqua County,8406,7013,8700,9889,3341,5514,42862,11400,54262
36015,New York,Chemung County,8406,7013,10068,9889,3341,5514,44230,11750,55980
36017,New York,Chenango County,8406,7013,9360,9889,3341,5514,43522,11569,55091
36019,New York,Clinton County,8406,7013,10104,9889,3341,5514,44266,11759,56026
36021,New York,Columbia County,8406,7013,11580,9889,3341,5514,45742,12138,57880
36023,New York,Cortland County,8406,7013,10188,9889,3341,5514,44350,11781,56131
36025,New York,Delaware County,8406,7013,9264,9889,3341,5514,43426,11544,54970
36027,New York,Dutchess County,8406,7013,16764,9889,3341,5514,50926,13466,64392
36029,New York,Erie County,8406,7013,10116,9889,3341,5514,44278,11762,56041
36031,New York,Essex County,8406,7013,10356,9889,3341,5514,44518,11824,56342
36033,New York,Franklin County,8406,7013,8928,9889,3341,5514,43090,11458,54548
36035,New York,Fulton County,8406,7013,9780,9889,3341,5514,43942,11676,55619
36037,New York,Genesee County,8406,7013,9840,9889,3341,5514,44002,11692,55694
36039,New York,Greene County,8406,7013,11616,9889,3341,5514,45778,12147,57925
36041,New York,Hamilton County,8406,7013,10152,9889,3341,5514,44314,11772,56086
36043,New York,Herkimer County,8406,7013,9480,9889,3341,5514,43642,11599,55242
36045,New York,Jefferson County,8406,7013,13188,9889,3341,5514,47350,12550,59900
