fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
48315,9798,19,1,14,6,0,1,3,11,0,0,1,0,2,0,8,4,66,0,2,9,0,15,4,0,0,0,0,7,4
48317,5848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
48319,4288,5,0,1,1,0,0,0,3,0,0,0,0,6,0,0,3,21,0,1,0,0,5,0,0,0,0,0,2,0
48321,36303,43,1,21,17,0,6,3,113,3,18,5,6,38,20,49,9,650,0,44,3,1,174,2,0,0,0,0,13,26
48323,58640,19,0,32,23,0,1,3,114,13,6,0,10,119,84,10,37,303,0,25,14,1,169,3,0,0,0,0,15,3
48325,49025,80,1,18,14,2,8,3,46,1,15,0,11,66,2,27,130,214,0,7,19,0,80,3,0,0,0,6,8,24
48327,2115,2,0,0,0,0,0,1,0,0,0,0,1,16,0,0,10,22,0,0,0,0,9,0,0,0,0,0,0,0
48329,174343,171,1,24,87,0,11,13,209,7,19,0,0,332,267,91,63,705,13,36,123,0,257,10,5,0,0,1,23,63
48331,25031,24,1,19,18,1,2,2,57,1,2,0,0,73,16,53,19,379,0,18,15,0,101,3,1,0,0,1,16,7
48333,4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
48335,7950,6,0,3,6,2,0,0,8,0,0,0,1,18,0,3,12,151,0,1,5,1,17,0,0,0,0,0,0,4
48337,19459,26,4,29,0,0,0,3,35,3,0,3,13,20,0,8,60,87,0,2,3,0,64,0,0,0,0,0,1,4
48339,600264,402,2,112,51,9,22,82,966,24,15,64,5,733,75,1138,58,2913,0,103,22,3,1388,62,109,16,0,2,125,187
48341,21287,18,0,3,5,0,3,0,19,1,1,0,0,79,10,72,8,146,0,5,3,0,59,3,0,0,0,0,1,8
48343,12185,16,0,12,11,0,1,3,38,0,1,0,0,20,1,16,18,181,0,33,3,0,48,0,0,0,0,0,4,8
48345,1230,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48347,65428,52,1,42,22,3,8,10,303,5,15,11,0,337,35,272,13,1262,0,32,20,0,317,1,0,11,0,0,27,28
48349,48673,71,2,25,16,1,7,7,93,9,10,10,43,276,45,116,81,242,0,0,25,0,197,5,0,2,0,0,12,31
48351,13575,4,0,8,2,0,0,0,12,0,0,0,0,1,0,11,1,48,0,0,2,0,5,2,0,0,0,0,1,3
48353,14599,18,0,13,0,0,1,0,5,1,0,5,0,22,3,35,5,373,0,1,1,0,15,0,1,0,0,0,0,6
48355,362810,442,9,143,171,12,13,112,1400,10,39,32,12,717,979,493,378,8438,156,136,139,0,1413,7,57,467,0,39,161,190
48357,9860,20,0,1,1,0,0,0,2,0,0,0,0,13,3,23,0,98,0,1,0,0,6,0,0,0,0,0,3,3
48359,2128,0,0,3,0,0,0,0,0,6,0,1,0,170,3,2,15,49,0,0,1,0,0,2,0,0,0,0,0,0
48361,83236,38,0,11,7,2,0,7,47,0,0,0,3,28,13,49,5,334,0,6,26,0,43,0,0,2,0,0,8,13
48363,28794,5,2,15,7,0,0,0,28,0,4,0,0,80,59,36,18,836,0,19,3,0,74,3,0,0,0,0,7,4
