,FIPS_Code,Unemployment_rate_2019,Median_Household_Income_2019
927,20091,2.8,91913.0
928,20093,2.3,67301.0
929,20095,3.2,56907.0
930,20097,2.3,49588.0
931,20099,4.0,44170.0
932,20101,2.6,60315.0
933,20103,3.4,75840.0
934,20105,2.3,47557.0
935,20107,6.0,62876.0
936,20109,2.0,53538.0
937,20111,3.4,49840.0
938,20113,2.2,65834.0
939,20115,2.9,51771.0
940,20117,2.8,55858.0
941,20119,2.3,64640.0
942,20121,3.3,74428.0
943,20123,2.3,51979.0
944,20125,4.1,44240.0
945,20127,2.7,54775.0
946,20129,2.9,56175.0
947,20131,2.7,63373.0
948,20133,4.6,49533.0
949,20135,2.5,54727.0
950,20137,2.2,49739.0
951,20139,3.6,55655.0
952,20141,2.0,46351.0
953,20143,2.7,58729.0
954,20145,2.8,65141.0
955,20147,2.6,51546.0
956,20149,2.8,73685.0
957,20151,2.5,53980.0
958,20153,2.2,50768.0
959,20155,3.2,53371.0
960,20157,2.5,47082.0
961,20159,2.8,56350.0
962,20161,2.8,51996.0
963,20163,3.5,49485.0
964,20165,2.8,53189.0
965,20167,2.9,46112.0
966,20169,3.0,56741.0
967,20171,1.9,62914.0
968,20173,3.5,60014.0
969,20175,3.1,55727.0
970,20177,3.3,59451.0
971,20179,2.2,54627.0
972,20181,2.7,54000.0
973,20183,2.5,45915.0
974,20185,2.7,51007.0
975,20187,2.5,63401.0
976,20189,2.6,61264.0
977,20191,3.4,53618.0
978,20193,2.2,58652.0
979,20195,2.8,52597.0
980,20197,3.2,66168.0
981,20199,2.6,54714.0
982,20201,2.6,46263.0
983,20203,2.0,54009.0
984,20205,3.9,46243.0
985,20207,4.2,43751.0
986,20209,4.3,47292.0
987,21001,5.2,37650.0
988,21003,4.0,47307.0
989,21005,3.6,61308.0
