,FIPS,pct_less_HS,pct_HS,pct_some_college,pct_college
337,12000,11.8,28.6,29.7,29.9
338,12001,7.4,21.2,28.1,43.3
339,12003,14.3,42.6,29.9,13.2
340,12005,9.3,31.0,35.9,23.7
341,12007,20.4,40.4,29.4,9.9
342,12009,7.8,28.3,33.8,30.2
343,12011,11.0,27.3,29.2,32.4
344,12013,23.1,41.6,25.8,9.5
345,12015,9.4,34.6,32.6,23.4
346,12017,11.6,37.2,32.9,18.3
347,12019,8.2,31.0,35.8,24.9
348,12021,12.9,25.8,24.9,36.4
349,12023,13.9,36.7,34.6,14.9
350,12027,26.5,43.8,18.2,11.5
351,12029,21.6,43.3,24.8,10.4
352,12031,10.2,27.8,31.9,30.0
353,12033,9.5,27.2,36.7,26.5
354,12035,7.8,34.3,32.8,25.1
355,12037,19.3,34.6,27.3,18.8
356,12039,20.2,36.2,27.4,16.2
357,12041,14.6,42.1,29.9,13.4
358,12043,25.5,38.2,25.1,11.2
359,12045,14.5,35.8,30.4,19.2
360,12047,27.0,45.4,19.8,7.9
361,12049,22.8,49.1,17.8,10.2
362,12051,33.7,33.7,24.3,8.3
363,12053,12.1,35.2,34.2,18.4
364,12055,14.3,38.8,29.8,17.2
365,12057,11.3,27.1,28.0,33.5
366,12059,21.3,40.7,27.3,10.7
367,12061,10.6,30.4,29.8,29.1
368,12063,19.5,38.4,29.5,12.6
369,12065,18.0,34.7,25.0,22.3
370,12067,24.7,38.9,24.6,11.8
371,12069,10.5,32.1,33.4,24.0
372,12071,11.6,31.0,29.2,28.2
373,12073,6.5,19.0,28.3,46.2
374,12075,15.1,41.1,31.6,12.2
375,12077,18.6,45.8,21.2,14.4
376,12079,19.0,39.7,27.3,14.0
377,12081,10.3,30.1,29.9,29.8
378,12083,12.4,36.9,30.6,20.1
379,12085,9.0,24.9,32.0,34.1
380,12086,18.6,27.3,24.4,29.8
381,12087,8.6,26.7,30.3,34.4
382,12089,8.7,31.7,30.0,29.6
383,12091,7.6,24.7,36.5,31.1
384,12093,22.8,39.5,26.3,11.3
385,12095,11.5,24.4,29.6,34.6
386,12097,13.3,31.3,33.7,21.8
387,12099,11.5,24.0,27.8,36.7
388,12101,10.5,33.2,32.2,24.0
389,12103,8.7,28.0,31.6,31.7
390,12105,15.0,34.7,30.1,20.2
391,12107,18.2,41.2,28.3,12.3
392,12109,5.2,21.4,28.7,44.7
393,12111,13.7,33.2,31.5,21.6
394,12113,8.7,26.8,36.8,27.7
395,12115,6.9,28.9,28.8,35.4
396,12117,5.7,21.1,33.6,39.6
397,12119,7.9,30.4,30.0,31.8
398,12121,17.7,38.9,27.9,15.5
399,12123,21.2,43.8,26.6,8.3
400,12125,23.5,37.4,29.9,9.2
401,12127,9.5,31.8,35.0,23.7
402,12129,12.3,36.2,33.2,18.3
403,12131,10.9,28.5,32.1,28.5
404,12133,18.7,40.1,28.6,12.5
405,13000,12.9,27.7,28.1,31.3
406,13001,25.1,38.7,26.4,9.8
407,13003,32.8,34.7,20.3,12.2
408,13005,17.9,42.4,29.2,10.5
409,13007,19.4,37.9,29.8,12.9
410,13009,14.2,35.0,27.5,23.3
411,13011,24.1,38.0,24.5,13.4
412,13013,15.5,34.1,31.4,19.0
413,13015,16.4,33.4,31.6,18.6
414,13017,16.5,45.3,27.0,11.2
415,13019,21.0,42.4,25.2,11.4
416,13021,14.0,30.5,30.1,25.4
417,13023,11.4,40.9,28.9,18.7
418,13025,21.1,44.6,25.4,8.9
419,13027,14.9,35.0,32.4,17.8
420,13029,8.4,24.3,34.2,33.1
421,13031,12.7,27.2,33.2,27.0
422,13033,19.9,38.3,28.5,13.2
423,13035,19.4,44.7,23.7,12.2
424,13037,27.1,36.7,27.1,9.1
425,13039,8.7,32.2,35.3,23.9
426,13043,22.7,37.3,27.0,13.0
427,13045,15.4,33.4,30.2,21.1
428,13047,12.5,32.9,33.2,21.4
429,13049,25.9,40.1,25.2,8.8
430,13051,10.1,24.2,32.1,33.6
431,13053,5.7,28.3,36.5,29.5
432,13055,26.2,40.1,24.8,8.9
433,13057,7.9,22.4,31.5,38.2
434,13059,12.0,19.9,24.1,44.0
435,13061,20.0,36.3,31.2,12.5
436,13063,15.2,33.6,31.7,19.5
437,13065,30.8,33.9,25.3,10.0
438,13067,7.9,18.5,26.2,47.4
439,13069,24.3,37.2,25.5,13.0
440,13071,25.3,38.8,23.1,12.8
441,13073,7.3,23.8,32.6,36.4
442,13075,20.9,36.3,29.3,13.5
443,13077,10.8,28.6,30.3,30.3
444,13079,16.9,40.0,32.6,10.5
445,13081,17.2,37.6,31.1,14.1
446,13083,19.3,37.7,27.9,15.2
447,13085,12.8,29.1,27.5,30.6
448,13087,17.5,36.7,32.0,13.8
449,13089,10.7,20.9,24.3,44.2
450,13091,14.4,44.2,27.1,14.3
451,13093,22.3,41.1,24.5,12.1
452,13095,16.6,30.2,31.8,21.4
453,13097,12.2,30.4,29.3,28.2
454,13099,19.6,37.1,28.2,15.1
455,13101,25.8,41.9,22.5,9.7
456,13103,11.7,37.5,30.8,20.0
457,13105,21.6,40.9,25.9,11.6
458,13107,21.4,40.8,24.7,13.0
459,13109,23.8,38.9,21.6,15.8
460,13111,13.4,33.5,31.3,21.8
461,13113,4.7,20.9,28.2,46.2
462,13115,17.6,34.3,27.2,20.9
463,13117,7.0,15.6,24.3,53.1
464,13119,17.7,39.4,27.0,15.9
465,13121,7.4,17.7,22.0,52.9
466,13123,18.3,35.4,25.9,20.4
467,13125,21.8,40.9,25.7,11.6
468,13127,11.9,26.7,31.5,29.9
469,13129,22.1,34.9,28.3,14.7
470,13131,19.9,39.2,27.0,13.9
471,13133,14.7,33.4,25.1,26.9
472,13135,12.3,22.3,28.4,36.9
473,13137,20.4,34.7,25.6,19.3
474,13139,20.9,27.7,26.9,24.5
475,13141,25.8,43.1,22.4,8.6
476,13143,18.8,36.1,30.4,14.8
477,13145,7.8,23.7,37.1,31.4
478,13147,18.5,36.9,28.9,15.7
479,13149,20.3,45.1,25.8,8.7
480,13151,8.8,31.7,31.1,28.5
481,13153,8.4,27.0,36.2,28.3
482,13155,18.5,40.2,26.1,15.1
483,13157,15.9,32.1,29.2,22.7
484,13159,17.2,38.1,30.4,14.2
485,13161,20.7,38.7,30.3,10.3
486,13163,23.6,41.8,24.7,9.9
487,13165,20.7,44.8,26.6,7.9
488,13167,24.9,45.9,20.1,9.1
489,13169,10.9,39.2,30.3,19.6
490,13171,13.0,39.4,31.8,15.8
491,13173,20.0,37.9,25.6,16.5
492,13175,14.1,43.1,26.5,16.2
493,13177,9.1,29.8,35.7,25.4
494,13179,9.3,31.6,40.9,18.3
495,13181,17.9,39.7,26.6,15.9
496,13183,12.3,34.7,35.5,17.4
497,13185,13.4,31.4,29.9,25.3
498,13187,15.2,30.4,28.0,26.4
499,13189,16.6,41.6,27.7,14.0
500,13191,14.8,37.4,30.2,17.6
501,13193,26.4,34.8,30.1,8.8
502,13195,16.8,39.8,24.9,18.5
503,13197,22.2,35.5,28.9,13.4
504,13199,20.3,39.8,29.5,10.4
505,13201,17.4,36.5,32.1,14.0
506,13205,22.8,39.5,28.0,9.7
507,13207,14.3,33.3,25.6,26.8
508,13209,18.3,38.1,27.7,16.0
509,13211,12.3,36.0,30.9,20.7
510,13213,29.3,37.4,23.2,10.1
511,13215,12.0,27.4,34.9,25.8
512,13217,13.4,33.8,33.1,19.8
513,13219,5.5,19.3,22.9,52.3
514,13221,20.3,38.9,23.8,17.1
515,13223,10.6,32.9,33.8,22.6
516,13225,17.0,29.8,32.6,20.5
517,13227,14.7,31.5,30.7,23.1
518,13229,16.6,42.8,28.1,12.6
519,13231,11.8,41.8,29.3,17.1
520,13233,21.2,37.9,27.2,13.7
521,13235,18.9,36.8,31.1,13.2
522,13237,12.4,37.6,26.6,23.4
523,13239,35.3,35.4,22.2,7.1
524,13241,15.2,33.1,27.5,24.2
525,13243,25.5,35.8,28.5,10.3
526,13245,15.9,31.4,31.4,21.4
527,13247,11.2,31.5,31.0,26.3
528,13249,12.4,34.8,39.4,13.3
529,13251,16.5,41.5,26.6,15.4
530,13253,14.0,38.3,31.5,16.2
531,13255,18.1,39.8,24.3,17.8
532,13257,17.9,38.6,22.4,21.0
533,13259,31.9,36.4,19.5,12.2
534,13261,18.6,34.7,28.5,18.3
535,13263,17.7,45.5,24.7,12.1
536,13265,29.0,46.2,16.8,8.1
537,13267,24.2,38.1,24.5,13.2
538,13269,21.5,37.5,28.3,12.6
539,13271,29.7,47.2,14.4,8.6
540,13273,22.5,32.3,33.9,11.2
541,13275,15.1,31.5,28.6,24.7
542,13277,18.1,34.7,29.1,18.1
543,13279,19.9,37.5,26.4,16.2
544,13281,10.1,29.9,30.0,30.1
545,13283,26.3,40.8,20.5,12.4
546,13285,16.6,35.1,29.3,19.0
547,13287,18.8,38.0,31.5,11.7
548,13289,25.8,38.5,23.9,11.8
549,13291,11.0,34.0,32.5,22.5
550,13293,17.7,38.4,30.5,13.4
551,13295,18.0,35.2,30.1,16.6
552,13297,13.1,36.0,29.1,21.7
553,13299,18.6,39.2,27.0,15.2
554,13301,26.8,39.8,21.1,12.3
555,13303,18.7,44.7,24.3,12.3
556,13305,16.6,42.0,28.5,13.0
557,13307,20.7,40.7,23.9,14.7
558,13309,19.2,50.5,16.8,13.6
559,13311,14.8,30.9,31.5,22.7
560,13313,30.5,29.4,24.3,15.7
561,13315,17.9,45.6,24.4,12.2
562,13317,16.3,44.0,25.9,13.8
563,13319,15.6,50.3,23.3,10.9
564,13321,17.1,42.7,29.2,11.0
565,15000,8.0,27.4,31.6,33.0
566,15001,7.7,30.2,32.7,29.4
567,15003,8.1,25.9,31.0,35.0
568,15005,9.7,27.4,38.7,24.2
569,15007,7.5,30.0,33.3,29.2
570,15009,8.0,31.3,33.5,27.2
571,16000,9.2,27.4,35.8,27.6
572,16001,4.8,22.4,34.3,38.5
573,16003,9.8,34.9,34.2,21.2
574,16005,7.5,26.4,38.2,27.8
575,16007,6.5,38.4,36.2,18.9
576,16009,12.4,38.4,33.9,15.2
577,16011,10.8,31.3,36.6,21.2
578,16013,11.3,25.6,27.8,35.4
579,16015,5.7,30.6,36.6,27.1
580,16017,9.2,29.8,37.2,23.8
581,16019,8.0,25.4,35.2,31.3
582,16021,8.2,42.7,29.3,19.8
583,16023,7.2,36.0,40.6,16.2
584,16025,6.7,43.2,33.9,16.3
585,16027,14.9,32.1,34.4,18.7
586,16029,8.8,32.4,39.9,19.0
587,16031,16.4,29.8,35.3,18.6
588,16033,40.2,28.0,19.6,12.2
589,16035,9.6,35.5,37.1,17.9
590,16037,10.6,28.6,36.4,24.4
591,16039,10.1,26.8,44.4,18.7
592,16041,9.7,37.8,34.8,17.7
593,16043,13.4,30.2,34.7,21.7
594,16045,12.2,37.0,33.4,17.5
595,16047,20.9,35.0,26.9,17.2
596,16049,9.5,36.1,34.6,19.8
597,16051,9.8,25.5,40.0,24.7
598,16053,22.8,30.6,30.5,16.1
599,16055,6.8,27.2,40.7,25.2
600,16057,4.2,19.7,30.7,45.4
601,16059,7.9,30.3,38.9,22.9
602,16061,11.5,29.6,40.9,17.9
603,16063,23.4,33.3,33.1,10.3
604,16065,4.1,15.2,44.3,36.4
605,16067,20.8,32.1,33.0,14.1
606,16069,8.0,32.1,37.0,22.9
607,16071,9.8,34.9,38.2,17.1
608,16073,23.9,33.4,30.8,12.0
609,16075,14.3,34.7,35.3,15.7
610,16077,20.8,32.7,31.4,15.1
611,16079,13.8,37.0,37.7,11.5
612,16081,6.2,16.6,36.2,41.0
613,16083,12.9,27.2,39.3,20.6
614,16085,5.4,26.7,37.6,30.4
615,16087,15.0,33.8,34.9,16.3
616,17000,10.8,26.0,28.6,34.7
617,17001,7.5,35.4,32.1,25.0
618,17003,13.5,40.7,32.9,12.9
619,17005,10.8,33.1,33.3,22.9
620,17007,13.8,34.8,27.9,23.5
621,17009,17.0,37.5,31.4,14.1
622,17011,9.2,36.6,33.6,20.6
623,17013,8.4,43.4,33.9,14.2
624,17015,8.8,38.1,33.5,19.5
625,17017,16.0,43.1,25.8,15.1
626,17019,5.0,22.0,28.0,45.0
627,17021,10.3,41.8,30.8,17.1
628,17023,7.2,40.0,33.0,19.9
629,17025,12.0,38.6,34.4,15.0
630,17027,9.9,31.9,35.9,22.3
631,17029,8.6,30.5,34.9,26.0
632,17031,12.9,23.1,25.2,38.8
